"","Character_Name","Description","Notes","Killed_By","Killed"
"1","Hannah Abbott","Hufflepuff student in Harry Potter's year","[1] Prefect and member of Dumbledore's Army.[2] Married to Neville Longbottom.[1]B",NA,0
"2","Ludo Bagman","Head of the Department of Magical Games and Sports within the Ministry of Magic","",NA,0
"3","Bathilda Bagshot","Author of A History of Magic, and the great aunt of Gellert Grindelwald","Bathilda is a major source of information for Rita Skeeter's biography of Dumbledore, who extracts this information under the influence of Veritaserum; it is possible her memory is also modified following the ""interview.""[3]Hazel Douglas plays Bathilda in Harry Potter and the Deathly Hallows – Part 1.",NA,0
"4","Katie Bell","Gryffindor Quidditch Chaser one year above Harry Potter","Member of Dumbledore's Army.",NA,0
"5","Cuthbert Binns","ghost, History of Magic professor","",NA,0
"6","Phineas Nigellus Black","Great-great-grandfather of Sirius Black and former Hogwarts headmaster","His painting hangs in the office and assists the current headmaster.",NA,0
"7","Regulus Black","Brother of Sirius Black","",NA,0
"8","Sirius Black","Harry's godfather who was a close friend of Harry's father James","Escapee from Azkaban prison and member of the Order of the Phoenix. Killed in the Battle of the Department of Mysteries by his cousin Bellatrix Lestrange.","Bellatrix Lestrange",1
"9","Amelia Bones","Head of the Department of Magical Law Enforcement, and the aunt of Susan Bones","Killed by Lord Voldemort.","Lord Voldemort",1
"10","Susan Bones","Hufflepuff student in Harry's year","Member of Dumbledore's Army.",NA,0
"11","Terry Boot","Ravenclaw student in Harry's year","Member of Dumbledore's Army.",NA,0
"12","Lavender Brown","Gryffindor student in Harry's year and member of Dumbledore's Army","",NA,0
"13","Millicent Bulstrode","Slytherin student in Harry's year","Member of Dolores Umbridge's Inquisitorial Squad.",NA,0
"14","Charity Burbage","Professor of Muggle Studies at Hogwarts","Killed by Lord Voldemort.","Lord Voldemort",1
"15","Frank Bryce","Muggle gardener for the Riddle family","Killed by Lord Voldemort. Dumbledore states his belief in Harry Potter and the Half-Blood Prince that the murder of Bryce was used to create Voldemort's presumably sixth and intended final Horcrux, implanted in Nagini. However, Rowling later said Voldemort used the earlier murder of Bertha Jorkins for this.[4] Bryce is portrayed by Eric Sykes in the film adaptation of Harry Potter and the Goblet of Fire.C","Lord Voldemort",1
"16","Alecto Carrow","Death Eater and sister of Amycus Carrow","Professor of Muggle Studies for one year, and Deputy Headmistress of Hogwarts under Severus Snape.",NA,0
"17","Amycus Carrow","Death Eater and brother of Alecto Carrow","Professor of Defence Against the Dark Arts for one year, and Deputy Headmaster of Hogwarts under Snape.",NA,0
"18","Reginald Cattermole","Employee of the Magical Maintenance Department for the Ministry of Magic","Impersonated by Ron Weasley.",NA,0
"19","Cho Chang","Ravenclaw Quidditch Seeker one year above Harry, and his first love interest","Member of Dumbledore's Army.",NA,0
"20","Penelope Clearwater","Ravenclaw prefect and girlfriend of Percy Weasley","",NA,0
"21","Crabbe","Death Eater and father of Vincent Crabbe","",NA,0
