"","Character_Name","Description","Notes"
"1","Hannah Abbott","Hufflepuff student in Harry Potter's year","[1] Prefect and member of Dumbledore's Army.[2] Married to Neville Longbottom.[1]B"
"2","Ludo Bagman","Head of the Department of Magical Games and Sports within the Ministry of Magic",""
"3","Bathilda Bagshot","Author of A History of Magic, and the great aunt of Gellert Grindelwald","Bathilda is a major source of information for Rita Skeeter's biography of Dumbledore, who extracts this information under the influence of Veritaserum; it is possible her memory is also modified following the ""interview.""[3]Hazel Douglas plays Bathilda in Harry Potter and the Deathly Hallows – Part 1."
"4","Katie Bell","Gryffindor Quidditch Chaser one year above Harry Potter","Member of Dumbledore's Army."
"5","Cuthbert Binns","ghost, History of Magic professor",""
"6","Phineas Nigellus Black","Great-great-grandfather of Sirius Black and former Hogwarts headmaster","His painting hangs in the office and assists the current headmaster."
"7","Regulus Black","Brother of Sirius Black",""
"8","Sirius Black","Harry's godfather who was a close friend of Harry's father James","Escapee from Azkaban prison and member of the Order of the Phoenix. Killed in the Battle of the Department of Mysteries by his cousin Bellatrix Lestrange."
"9","Amelia Bones","Head of the Department of Magical Law Enforcement, and the aunt of Susan Bones","Killed by Lord Voldemort."
"10","Susan Bones","Hufflepuff student in Harry's year","Member of Dumbledore's Army."
"11","Terry Boot","Ravenclaw student in Harry's year","Member of Dumbledore's Army."
"12","Lavender Brown","Gryffindor student in Harry's year and member of Dumbledore's Army",""
"13","Millicent Bulstrode","Slytherin student in Harry's year","Member of Dolores Umbridge's Inquisitorial Squad."
"14","Charity Burbage","Professor of Muggle Studies at Hogwarts","Killed by Lord Voldemort."
"15","Frank Bryce","Muggle gardener for the Riddle family","Killed by Lord Voldemort. Dumbledore states his belief in Harry Potter and the Half-Blood Prince that the murder of Bryce was used to create Voldemort's presumably sixth and intended final Horcrux, implanted in Nagini. However, Rowling later said Voldemort used the earlier murder of Bertha Jorkins for this.[4] Bryce is portrayed by Eric Sykes in the film adaptation of Harry Potter and the Goblet of Fire.C"
"16","Alecto Carrow","Death Eater and sister of Amycus Carrow","Professor of Muggle Studies for one year, and Deputy Headmistress of Hogwarts under Severus Snape."
"17","Amycus Carrow","Death Eater and brother of Alecto Carrow","Professor of Defence Against the Dark Arts for one year, and Deputy Headmaster of Hogwarts under Snape."
"18","Reginald Cattermole","Employee of the Magical Maintenance Department for the Ministry of Magic","Impersonated by Ron Weasley."
"19","Cho Chang","Ravenclaw Quidditch Seeker one year above Harry, and his first love interest","Member of Dumbledore's Army."
"20","Penelope Clearwater","Ravenclaw prefect and girlfriend of Percy Weasley",""
"21","Crabbe","Death Eater and father of Vincent Crabbe",""
"22","Vincent Crabbe","Slytherin student in Harry's year and the son of a Death Eater","Slytherin Quidditch Beater and member of the Inquisitorial Squad. Killed by his own Fiendfyre spell. Jamie Waylett portrayed Crabbe in the first six films; due to Waylett's legal troubles, Crabbe was played by Blaise Zabini in the last film of the series.[5][6]"
"23","Colin Creevey","Muggle-born Gryffindor student one year below Harry","Older brother of Dennis Creevey, and member of Dumbledore's Army. Killed during the Battle of Hogwarts."
"24","Dennis Creevey","Muggle-born Gryffindor student three years below Harry","Younger brother of Colin Creevey, and member of Dumbledore's Army."
"25","Dirk Cresswell","Muggle-born Head of the Goblin Liaison Office, went on the run with fellow Muggle-borns Ted Tonks, Dean Thomas and goblins Gornuk and Griphook, during which he is killed",""
"26","Barty Crouch Sr","Head of the Department of International Magical Cooperation","Killed by his son Barty Crouch Jr."
"27","Barty Crouch Jr","Death Eater credited with facilitating the return of Lord Voldemort","Used Polyjuice Potion to impersonate Alastor Moody, and received a Dementor's Kiss.D"
"28","John Dawlish","an Auror",""
"29","Fleur Delacour","Participant in the Triwizard Tournament as a representative of wizarding school Beauxbatons","Later married Bill Weasley."
"30","Gabrielle Delacour","Fleur's younger sister","Rescued by Harry during the Triwizard Tournament."
"31","Dedalus Diggle","Member of the Order of the Phoenix who took the Dursleys into hiding",""
"32","Amos Diggory","Cedric Diggory's father","Employee of the Department for the Regulation and Control of Magical Creatures."
"33","Cedric Diggory","Hufflepuff student and prefect two years above Harry","Quidditch Seeker and captain, and co-winner of the Triwizard Tournament. Killed by Peter Pettigrew on Lord Voldemort's command."
"34","Armando Dippet","Dumbledor's predecessor as headmaster of Hogwarts, during which time Tom Riddle first opened the Chamber of Secrets","Expelled Rubeus Hagrid, who was framed by Riddle."
"35","Elphias Doge","A school friend of Albus Dumbledore",""
"36","Antonin Dolohov","Death Eater who killed Fabian Prewett, Gideon Prewett, and Remus Lupin",""
"37","Aberforth Dumbledore","Brother of Albus and Ariana Dumbledore","Owner of the Hog's Head tavern."
"38","Albus Dumbledore","Transfiguration professor in Tom Riddle's time, and Hogwarts headmaster in Harry Potter's time","Founder of the Order of the Phoenix. Killed by Severus Snape on Dumbledore's request."
"39","Ariana Dumbledore","Sister of Albus and Aberforth Dumbledore, killed in a three-way duel between her brothers and Gellert Grindelwald",""
"40","Kendra Dumbledore","Wife of Percival Dumbledore","Mother of Albus, Aberforth, and Ariana Dumbledore."
"41","Percival Dumbledore","Husband of Kendra Dumbledore, father of Albus, Aberforth, and Ariana Dumbledore",""
"42","Dudley Dursley","Muggle son of Vernon Dursley and Petunia Evans, first cousin of Harry Potter","Rowling revealed on her website that many people have asked her to include an adult Dudley with a wizarding child in the epilogue of Deathly Hallows, and that she herself considered it, but decided upon reflection that any ""latent wizarding genes would never survive contact with Uncle Vernon's DNA"" and thus she did not do so. Rowling says that Harry and Dudley would ""stay on Christmas card"" terms for the rest of their lives,[7] and that Harry would take his family to visit Dudley's when they were in the neighbourhood, but it was something that James Sirius, Albus Severus and Lily Luna ""would dread"".[8] However, Dudley's kids and Harry's occasionally would ""get together while the adults sat in awkward silence"". In Harry Potter and the Cursed Child it is also mentioned that adult Dudley sent Harry his baby blanket, one of the two surviving possession of Harry's from his parents. Dudley is portrayed by Harry Melling in the Harry Potter films. Melling had to wear a fat suit, as he lost a considerable amount of weight as the films progressed.[9]"
"43","Marge Dursley","Muggle sister of Vernon Dursley","Pam Ferris played Marge in the film adaptation of Harry Potter and the Prisoner of Azkaban, in which she floats out of the house and into the sky after Harry inflates her."
"44","Petunia Dursley","Harry's aunt, and his mother Lily's sister","Vernon's wife and Dudley's mother. In the film version of Harry Potter and the Deathly Hallows – Part 1, she leaves Harry without showing any sentiment; however, in a deleted scene on the Blu-ray/DVD release, Petunia shows acknowledgment of the wizarding world, and ultimately deep sadness and remorse for the loss of her younger sister Lily, reminding Harry that she lost a sister as well.[10] Actress Fiona Shaw portrays Petunia in the films, with Ariella Paradise playing her as a child."
"45","Vernon Dursley","Harry Potter's Muggle uncle","Petunia's husband and Dudley's father. Vernon is portrayed by Richard Griffiths in the films.E"
"46","Marietta Edgecombe","Ravenclaw student one year above Harry","Member of Dumbledore's Army who later betrays the group to Dolores Umbridge.F"
"47","Arabella Figg","Squib neighbour of the Dursleys","Member of the Order of the Phoenix."
"48","Argus Filch","Squib caretaker of Hogwarts",""
"49","Justin Finch-Fletchley","Muggle-born Hufflepuff student in Harry's year","Member of Dumbledore's Army."
"50","Seamus Finnigan","Gryffindor student in Harry's year","Member of Dumbledore's Army."
"51","Nicolas Flamel","Creator and owner of the Philosopher's Stone",""
"52","Mundungus Fletcher","Common thief and shifty Order of the Phoenix member",""
"53","Filius Flitwick","Head of Ravenclaw House and Charms professor at Hogwarts",""
"54","Cornelius Fudge","Minister for Magic in the first five books","Sacked after persistently denying Lord Voldemort's return.G"
"55","Marvolo Gaunt","The pure-blood father of Merope and Morfin Gaunt, and grandfather of Tom Marvolo Riddle",""
"56","Merope Gaunt","Tom Riddle's mother who died in childbirth",""
"57","Morfin Gaunt","Marvolo's son and Merope's brother","Framed by his nephew Tom Riddle for Muggle killings, and died in Azkaban."
"58","Anthony Goldstein","Ravenclaw student in Harry's year","Member of Dumbledore's Army."
"59","Goyle","Death Eater and father of Gregory Goyle",""
"60","Gregory Goyle","Slytherin student in Harry's year","Slytherin Quidditch Beater and member of the Inquisitorial Squad. Joshua Herdman played Goyle."
"61","Hermione Granger","Muggle-born Gryffindor student in Harry's year and one of his best friends","Prefect and co-founder of Dumbledore's Army."
"62","Mr. and Mrs. Granger","Hermione Granger's parents","During the Second Wizarding War, Hermione alters their memories, causing them to believe that they are called Wendell and Monica Wilkins, a childless couple who is moving to Australia, to protect them from Voldemort. After the War, she restores their true memories.[11]"
